date,temp,humd,salt,ec,ph,n,p,k,light
07/13/2024 08:39:36 PM,28.7,25.2,366,393,7.89,25,34,86,2.41
07/13/2024 08:39:55 PM,28.9,25.3,367,396,7.28,25,34,86,1.33
07/13/2024 08:40:16 PM,29.1,25.3,368,398,7.08,25,35,87,1.32
07/13/2024 08:44:02 PM,30,25.5,366,402,6.47,25,35,88,0.97
07/13/2024 08:44:20 PM,30.1,25.5,365,403,6.44,25,35,88,1.04
07/13/2024 08:44:38 PM,30.1,25.5,365,403,6.41,25,35,88,0.97
07/13/2024 08:44:57 PM,30.2,25.5,365,402,6.38,25,35,88,1.11
07/13/2024 08:53:17 PM,31.2,25.5,358,403,5.79,25,35,88,3.36
07/13/2024 08:56:07 PM,31.4,25.5,357,403,5.65,25,35,88,3.46
07/13/2024 08:57:17 PM,31.5,25.4,356,402,5.6,25,35,88,3.2
07/13/2024 10:24:24 PM,31.2,25.4,355,400,4.51,25,35,87,4.23
07/13/2024 10:39:46 PM,31,25.4,356,399,4.58,25,35,87,5.35
07/13/2024 10:53:56 PM,30.9,25.4,356,398,4.64,25,34,87,3.72
07/13/2024 11:35:52 PM,31,25.4,354,397,4.88,25,34,87,7.35
07/13/2024 11:38:00 PM,31,25.4,354,397,4.84,25,34,87,4.15
07/13/2024 11:41:01 PM,31.1,25.4,354,397,4.84,25,34,87,4.44
07/13/2024 11:43:48 PM,31.1,25.4,353,397,4.86,25,34,87,6.93
07/13/2024 11:44:02 PM,31.2,25.4,353,397,4.86,25,34,87,6.93
07/13/2024 11:44:21 PM,31.2,25.4,353,397,4.86,25,34,87,6.93
07/13/2024 11:44:35 PM,31.2,25.4,353,397,4.86,25,34,87,6.44
07/13/2024 11:45:03 PM,31.2,25.4,353,397,4.86,25,34,87,6.85
07/13/2024 11:45:17 PM,31.1,25.4,353,397,4.86,25,34,87,7.69
07/13/2024 11:48:33 PM,31,25.6,354,396,4.94,25,34,86,3.7
07/13/2024 11:48:48 PM,31,25.6,354,396,4.95,25,34,86,6.41
07/13/2024 11:49:02 PM,31.1,25.6,353,396,4.95,25,34,86,6.49
07/13/2024 11:49:20 PM,31.1,25.6,353,396,4.97,25,34,87,3.41
07/13/2024 11:49:41 PM,31.1,25.6,353,396,4.98,25,34,87,3.27
07/13/2024 11:51:46 PM,31.1,25.2,353,396,4.93,25,34,86,7.47
07/14/2024 12:51:55 AM,30.5,25,354,393,4.98,25,34,86,4.34
07/14/2024 01:52:07 AM,30.2,25,355,392,5.03,25,34,86,4.32
07/14/2024 02:52:12 AM,29.9,25,355,390,5.04,25,34,86,4.66
07/14/2024 03:52:27 AM,29.9,24.9,354,388,5.04,25,34,85,4.12
07/14/2024 04:52:30 AM,29.5,24.8,355,387,5.05,25,34,85,4.31
07/14/2024 05:52:39 AM,29.4,24.8,354,385,5.04,25,34,85,337.92
07/14/2024 06:52:47 AM,29.7,24.8,351,384,5.06,24,34,84,580.15
07/14/2024 07:52:56 AM,41,25.4,300,396,5.3,25,34,86,17356.87
07/14/2024 08:53:04 AM,33.5,24.5,339,397,5.43,25,34,87,1422.57
07/14/2024 09:53:12 AM,33.3,24.4,336,392,5.46,25,34,86,1177.21
07/14/2024 10:53:21 AM,33.9,24.3,331,390,5.47,25,34,85,1435.2
07/14/2024 11:53:29 AM,34.6,24.3,326,389,5.49,25,34,85,2503.11
07/14/2024 12:53:38 PM,35.1,24.2,324,389,5.59,25,34,85,2275.67
07/14/2024 01:53:47 PM,35.3,24.1,323,389,5.61,25,34,85,2413.79
07/14/2024 02:53:55 PM,35.8,24,320,389,5.63,25,34,85,2597.98
07/14/2024 03:54:04 PM,38.3,23.8,309,391,5.75,25,34,86,2102.96
