date,temp,humd,salt,ec,ph,n,p,k,light
05/27/2024 10:39:14 PM,27.8,11.6,131,138,5.51,12,17,43,276.16
05/27/2024 10:39:31 PM,27.8,11.6,131,138,5.5,12,17,43,292.38
05/27/2024 10:46:06 PM,28,22,188,200,5.43,15,21,53,668.5
05/27/2024 10:59:49 PM,27.9,30.2,189,200,5.06,15,21,53,19.99
05/27/2024 11:00:10 PM,27.9,30.2,189,200,5.05,15,21,53,20.02
05/27/2024 11:00:33 PM,27.9,30.2,189,200,5.05,15,21,53,20.03
05/27/2024 11:00:55 PM,27.9,30.2,189,200,5.04,15,21,53,20.1
05/27/2024 11:01:16 PM,27.9,30.2,189,200,5.03,15,21,53,20.12
05/27/2024 11:01:37 PM,27.9,30.2,189,200,5.03,15,21,53,20.01
05/27/2024 11:01:59 PM,28,30,188,200,5.03,15,21,53,12.66
05/27/2024 11:02:22 PM,28,29.9,188,200,5.17,15,21,53,176.98
05/27/2024 11:03:16 PM,28,29.6,188,200,5.21,15,21,53,94.58
05/27/2024 11:03:29 PM,28,29.7,188,200,5.13,15,21,53,90.33
05/27/2024 11:04:14 PM,28,29.7,188,200,5.06,15,21,53,83.57
05/27/2024 11:04:31 PM,28,29.7,188,200,5.05,15,21,53,83.25
05/27/2024 11:07:54 PM,27.9,29.6,189,200,5,15,21,53,83.28
05/27/2024 11:08:15 PM,27.9,29.6,189,200,4.99,15,21,53,83.13
05/27/2024 11:38:56 PM,27.8,28.7,189,200,5.11,15,21,53,131.92
05/28/2024 12:09:07 AM,28.3,27.5,187,200,5.05,15,21,53,29.05
05/28/2024 12:39:18 AM,28.8,27.4,185,200,5.11,15,21,53,26.65
05/28/2024 01:09:30 AM,29.1,27.4,184,200,5.2,15,21,53,27.05
05/28/2024 01:39:42 AM,29.2,27.4,184,200,5.33,15,21,53,27.21
05/28/2024 02:09:53 AM,29.4,27.4,183,200,5.48,15,21,53,24.72
05/28/2024 02:40:04 AM,29.5,27.4,183,200,5.61,15,21,53,27.38
05/28/2024 03:10:16 AM,29.6,27.4,183,200,5.69,15,21,53,27.3
05/28/2024 03:40:27 AM,29.6,27.4,183,200,5.72,15,21,53,27.3
05/28/2024 04:10:39 AM,29.6,27.4,183,200,5.69,15,21,53,116.3
05/28/2024 04:40:50 AM,29.6,27.4,183,200,5.64,15,21,53,124
05/28/2024 05:11:01 AM,29.5,27.3,183,200,5.61,15,21,53,124.2
05/28/2024 05:41:13 AM,29.5,27.3,183,200,5.6,15,21,53,137.6
05/28/2024 06:11:24 AM,29.5,27.3,183,200,5.6,15,21,53,157.9
05/28/2024 06:41:36 AM,29.6,27.4,183,200,5.59,15,21,53,196.7
05/28/2024 07:11:47 AM,30.1,27.3,181,200,5.62,15,21,53,219.4
05/28/2024 07:41:58 AM,30.4,27.3,180,200,5.65,15,21,53,286.4
05/28/2024 08:12:09 AM,30.7,27.3,179,200,5.68,15,21,53,382.7
05/28/2024 08:42:21 AM,30.9,27.3,178,200,5.69,15,21,53,403.6
05/28/2024 09:12:33 AM,31,27.3,178,200,5.7,15,21,53,459.4
05/28/2024 09:42:45 AM,31.2,27.3,177,200,5.68,15,21,53,526.7
05/28/2024 10:12:56 AM,31.3,32.5,189,213,5.77,16,22,55,549.7
05/28/2024 10:43:10 AM,31.4,32.5,191,216,5.78,16,22,56,589.97
05/28/2024 11:13:30 AM,31.5,32.5,193,218,5.8,16,22,56,623.57
05/28/2024 11:43:32 AM,31.7,32.4,194,220,5.79,16,22,57,606.95
05/28/2024 12:13:43 PM,31.8,32.3,195,222,5.78,16,22,57,595.87
05/28/2024 12:43:55 PM,31.9,32.2,197,224,5.76,16,22,57,597.38
05/28/2024 01:14:06 PM,32.1,32.2,197,225,5.75,17,23,57,651.29
05/28/2024 01:44:18 PM,32.2,32.2,198,227,5.74,17,23,58,597.17
05/28/2024 02:14:49 PM,31.2,32.2,202,227,5.65,17,23,58,583.8
05/28/2024 02:44:48 PM,30.6,31.3,199,222,5.55,16,22,57,586.76
05/28/2024 03:14:59 PM,30.3,31.3,200,221,5.46,16,22,57,502.81
05/28/2024 03:45:38 PM,30.1,31.3,201,221,5.39,16,22,57,471.13
05/28/2024 04:15:25 PM,30.1,31.2,202,222,5.34,16,22,57,457.2
05/28/2024 04:45:37 PM,30,31.1,202,223,5.31,16,22,57,437.17
05/28/2024 05:15:49 PM,29.7,31.2,204,223,5.27,16,22,57,346.5
05/28/2024 05:46:00 PM,29.6,31.1,205,224,5.25,16,22,57,337.79
05/28/2024 06:16:12 PM,29.8,31.1,205,225,5.22,17,23,57,67.21
05/28/2024 06:46:24 PM,30.3,31,205,227,5.24,17,23,58,0.17
05/28/2024 07:16:35 PM,30.7,31,206,229,5.29,17,23,58,0.07
05/28/2024 07:46:48 PM,31,30.9,207,231,5.34,17,23,58,0.06
05/28/2024 08:17:00 PM,31.2,30.9,207,233,5.37,17,23,59,0.07
05/28/2024 08:47:19 PM,31.3,30.8,207,234,5.39,17,23,59,0.06
05/28/2024 09:17:30 PM,31.5,30.8,208,235,5.4,17,23,59,59.24
05/28/2024 09:47:42 PM,30.9,31,211,236,5.34,17,23,59,368.01
05/28/2024 10:17:53 PM,29.9,30.9,214,235,5.14,17,23,59,370.34
05/28/2024 10:48:04 PM,29.2,31,215,233,4.95,17,23,59,346.05
05/28/2024 11:18:16 PM,28.9,31,215,232,4.8,17,23,59,509.88
05/28/2024 11:48:30 PM,28.8,31,216,232,4.7,17,23,59,483.25
05/29/2024 12:18:42 AM,28.7,31,217,233,4.64,17,23,59,487.46
