date,temp,humd,ph,light,ele_npk,ele_ec_salt
2024/7/14 00:51,30.5,25,5.43,4.34,48.33,373.5
2024/7/14 01:52,30.2,25,5.46,4.32,48.33,373.5
2024/7/14 02:52,29.9,25,5.47,4.66,48.33,372.5
2024/7/14 03:52,29.9,24.9,5.49,4.12,48,371
2024/7/14 04:52,29.5,24.8,5.59,4.31,48,371
2024/7/14 05:52,29.4,24.8,5.58,337.92,48,369.5
2024/7/14 06:52,29.7,24.8,5.54,580.15,47.33,367.5
2024/7/14 07:52,30,25.4,5.3,1236.87,48.33,348
2024/7/14 08:53,31.5,24.5,5.43,1422.57,48.67,368
2024/7/14 09:53,31.3,36,5.46,1477.21,48.33,364
2024/7/14 10:53,31.9,35.2,5.47,1435.2,48,360.5
2024/7/14 11:53,33.6,34.2,5.49,2503.11,48,357.5
2024/7/14 12:53,34.7,33.9,5.59,2475.67,48,356.5
2024/7/14 13:53,34.3,31.6,5.61,2413.79,48,356
2024/7/14 14:53,33.8,29.8,5.63,2497.98,48,354.5
2024/7/14 15:54,33.3,28.1,5.75,2102.96,48.33,350
2024/7/14 16:54,33.5,27.3,5.81,946.97,48.33,351
2024/7/14 17:54,32.6,26.1,5.75,594.29,48,355
2024/7/14 18:54,32.2,25.8,5.7,13.4,47,353.5
2024/7/14 19:54,32.7,25.6,5.66,5.88,47,352
2024/7/14 20:54,32.2,25,5.62,5.18,46.67,351.5
2024/7/14 21:54,31.7,24.8,5.58,4.71,46.67,350
2024/7/14 22:55,31.5,24.8,5.54,4.65,46.67,348.5
2024/7/14 23:55,31.4,24.3,5.52,4.66,46.33,347
2024/7/15 00:55,31,24.3,5.49,4.62,46,346
2024/7/15 01:55,31.6,24,5.47,4.67,46,346.5
2024/7/15 02:55,31.8,24,5.47,4.61,46,345
2024/7/15 03:55,31.9,23.8,5.47,4.32,45.67,344.5
2024/7/15 04:56,31.5,23.8,5.46,4.25,45.67,345
2024/7/15 05:56,31.3,23.8,5.44,148.31,45.67,344.5
2024/7/15 06:56,31.9,24.1,5.45,655.08,45.67,343
2024/7/15 07:56,31.6,23.9,5.48,1708.36,46,338.5
2024/7/15 08:56,32.7,23.7,5.54,1900.21,46.33,342.5
2024/7/15 09:56,33.9,23.6,5.56,1690.46,46,341
2024/7/15 10:56,33,36,5.6,1796.13,46,340
